line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

 19  0.566274177250505E+07   11.987515  4.060927  4.438359  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3218  4.438359   -8.564  0.915051  7.536023  0.5703314E+00  0.4159632E+00  4.9859735E-05  1.3530730E-05  8.0118890E-03  3.2521840E-04  1.5660255E-06  1.1522452E-09  1.8619337E-03  9.3875897E-09  4.726E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.025378  0.0000000E+00  0.0000000000E+00
 20  0.591453635446845E+07   11.986820  4.065529  4.437752  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3195  4.437752   -8.555  0.915521  7.536824  0.5621977E+00  0.4241000E+00  5.0124369E-05  1.3601842E-05  8.0333407E-03  3.0038472E-04  1.4352508E-06  1.0618537E-09  1.8612137E-03  1.0269176E-08  4.577E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.025650  0.0000000E+00  0.0000000000E+00
 21  0.616633093643184E+07   11.986110  4.070142  4.437174  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3174  4.437174   -8.545  0.916156  7.537799  0.5539202E+00  0.4323801E+00  5.0386458E-05  1.3671447E-05  8.0517366E-03  2.7903191E-04  1.3224178E-06  9.8425435E-10  1.8604786E-03  1.1214032E-08  4.430E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.025925  0.0000000E+00  0.0000000000E+00
 22  0.640451500045126E+07   11.985423  4.074558  4.436551  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3144  4.436551   -8.535  0.916628  7.538613  0.5458973E+00  0.4404052E+00  5.0600284E-05  1.3730780E-05  8.0668323E-03  2.6150817E-04  1.2302782E-06  9.2045200E-10  1.8597634E-03  1.2172936E-08  4.297E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.026192  0.0000000E+00  0.0000000000E+00
 23  0.664269906447069E+07   11.984721  4.079144  4.435954  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3123  4.435954   -8.526  0.917412  7.539579  0.5377190E+00  0.4485854E+00  5.0840132E-05  1.3794249E-05  8.0798132E-03  2.4635093E-04  1.1495164E-06  8.6540169E-10  1.8590314E-03  1.3273679E-08  4.167E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.026471  0.0000000E+00  0.0000000000E+00
 24  0.687407786951813E+07   11.984024  4.083510  4.435327  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3095  4.435327   -8.517  0.918047  7.540516  0.5296191E+00  0.4566869E+00  5.1040949E-05  1.3849285E-05  8.0907186E-03  2.3361604E-04  1.0816507E-06  8.1888175E-10  1.8583033E-03  1.4400178E-08  4.042E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.026740  0.0000000E+00  0.0000000000E+00
 25  0.710273457097678E+07   11.983320  4.088020  4.434635  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3074  4.434635   -8.507  0.918756  7.541405  0.5214275E+00  0.4648799E+00  5.1397848E-05  1.3949610E-05  8.0998416E-03  2.2265619E-04  1.0117986E-06  7.7710483E-10  1.8575634E-03  1.5800255E-08  3.924E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.027021  0.0000000E+00  0.0000000000E+00
 26  0.732322496166904E+07   11.982627  4.092349  4.433983  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3047  4.433983   -8.498  0.919545  7.542345  0.5133925E+00  0.4729160E+00  5.1606973E-05  1.4004399E-05  8.1075787E-03  2.1351385E-04  9.6265388E-07  7.4393828E-10  1.8568343E-03  1.7170202E-08  3.808E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.027293  0.0000000E+00  0.0000000000E+00
 27  0.754371535236131E+07   11.981920  4.096780  4.433259  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3026  4.433259   -8.489  0.920394  7.543231  0.5051772E+00  0.4811323E+00  5.1776389E-05  1.4052090E-05  8.1143286E-03  2.0555555E-04  9.1969045E-07  7.1460117E-10  1.8560850E-03  1.8645545E-08  3.696E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.027575  0.0000000E+00  0.0000000000E+00
 28  0.775808100997879E+07   11.981218  4.101218  4.432578  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3003  4.432578   -8.480  0.921468  7.544249  0.4970404E+00  0.4892699E+00  5.1986365E-05  1.4107214E-05  8.1199312E-03  1.9884014E-04  8.8226700E-07  6.9005763E-10  1.8553388E-03  2.0308595E-08  3.587E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.027859  0.0000000E+00  0.0000000000E+00
